category,dataset,trajectory_id,first_occurrence_step,trajectory_length,normalized_position
tool_web_failure,nebius,absent1706__sqlalchemy-mixins-108,54,103,0.524272
tool_web_failure,nebius,airspeed-velocity__asv-702,28,89,0.314607
tool_web_failure,nebius,airspeed-velocity__asv-702,34,39,0.871795
tool_web_failure,nebius,airspeed-velocity__asv-702,44,105,0.419048
tool_web_failure,nebius,asottile__pyupgrade-142,12,17,0.705882
tool_web_failure,nebius,asottile__pyupgrade-142,10,13,0.769231
tool_web_failure,nebius,asottile__pyupgrade-142,10,21,0.47619
tool_web_failure,nebius,asottile__pyupgrade-142,6,49,0.122449
tool_web_failure,nebius,asottile__pyupgrade-142,6,17,0.352941
tool_web_failure,nebius,asottile__pyupgrade-142,12,55,0.218182
tool_web_failure,nebius,asottile__pyupgrade-142,6,19,0.315789
tool_web_failure,nebius,asottile__pyupgrade-142,6,11,0.545455
tool_web_failure,nebius,asottile__pyupgrade-142,6,17,0.352941
tool_web_failure,nebius,asottile__pyupgrade-142,6,41,0.146341
tool_web_failure,nebius,asottile__pyupgrade-142,14,49,0.285714
tool_web_failure,nebius,asottile__pyupgrade-142,14,31,0.451613
tool_web_failure,nebius,asottile__pyupgrade-142,6,65,0.092308
tool_web_failure,nebius,asottile__pyupgrade-142,6,15,0.4
tool_web_failure,nebius,asottile__pyupgrade-142,6,45,0.133333
tool_web_failure,nebius,asottile__pyupgrade-142,10,255,0.039216
tool_web_failure,nebius,asottile__pyupgrade-142,6,47,0.12766
tool_web_failure,nebius,asottile__pyupgrade-142,6,23,0.26087
tool_web_failure,nebius,asottile__pyupgrade-142,6,45,0.133333
tool_web_failure,nebius,asottile__pyupgrade-142,14,31,0.451613
tool_web_failure,nebius,asottile__pyupgrade-142,10,23,0.434783
tool_web_failure,nebius,asottile__pyupgrade-142,6,13,0.461538
tool_web_failure,nebius,asottile__pyupgrade-142,6,21,0.285714
tool_web_failure,nebius,asottile__pyupgrade-142,6,31,0.193548
tool_web_failure,nebius,asottile__pyupgrade-142,6,41,0.146341
tool_web_failure,nebius,asottile__pyupgrade-142,6,21,0.285714
tool_web_failure,nebius,asottile__pyupgrade-142,6,25,0.24
tool_web_failure,nebius,asottile__pyupgrade-142,6,17,0.352941
tool_web_failure,nebius,asottile__pyupgrade-142,6,49,0.122449
tool_web_failure,nebius,asottile__pyupgrade-142,8,15,0.533333
tool_web_failure,nebius,asottile__pyupgrade-142,6,41,0.146341
tool_web_failure,nebius,asottile__pyupgrade-142,6,25,0.24
tool_web_failure,nebius,asottile__pyupgrade-142,6,33,0.181818
tool_web_failure,nebius,asottile__pyupgrade-142,6,51,0.117647
tool_web_failure,nebius,asottile__pyupgrade-142,6,33,0.181818
tool_web_failure,nebius,asottile__pyupgrade-142,14,31,0.451613
tool_web_failure,nebius,asottile__pyupgrade-142,6,65,0.092308
tool_web_failure,nebius,asottile__pyupgrade-142,26,43,0.604651
tool_web_failure,nebius,asottile__pyupgrade-142,18,25,0.72
tool_web_failure,nebius,asottile__pyupgrade-142,6,17,0.352941
tool_web_failure,nebius,asottile__pyupgrade-142,10,27,0.37037
tool_web_failure,nebius,asottile__pyupgrade-142,6,91,0.065934
tool_web_failure,nebius,asottile__pyupgrade-142,10,15,0.666667
tool_web_failure,nebius,asottile__pyupgrade-142,6,47,0.12766
tool_web_failure,nebius,asottile__pyupgrade-142,6,77,0.077922
tool_web_failure,nebius,asottile__pyupgrade-142,6,21,0.285714
tool_web_failure,nebius,asottile__pyupgrade-142,10,21,0.47619
tool_web_failure,nebius,asottile__pyupgrade-142,8,41,0.195122
tool_web_failure,nebius,asottile__pyupgrade-142,14,21,0.666667
tool_web_failure,nebius,asottile__pyupgrade-142,10,27,0.37037
tool_web_failure,nebius,asottile__pyupgrade-142,6,39,0.153846
tool_web_failure,nebius,asottile__pyupgrade-147,4,51,0.078431
tool_web_failure,nebius,asottile__pyupgrade-147,20,397,0.050378
tool_web_failure,nebius,asottile__pyupgrade-147,4,55,0.072727
tool_web_failure,nebius,asottile__pyupgrade-147,4,27,0.148148
tool_web_failure,nebius,asottile__pyupgrade-147,4,29,0.137931
tool_web_failure,nebius,asottile__pyupgrade-147,4,13,0.307692
tool_web_failure,nebius,asottile__pyupgrade-147,12,61,0.196721
tool_web_failure,nebius,asottile__pyupgrade-147,4,29,0.137931
tool_web_failure,nebius,asottile__pyupgrade-147,4,21,0.190476
tool_web_failure,nebius,asottile__pyupgrade-147,24,33,0.727273
tool_web_failure,nebius,asottile__pyupgrade-147,14,29,0.482759
tool_web_failure,nebius,asottile__pyupgrade-147,4,27,0.148148
tool_web_failure,nebius,asottile__pyupgrade-147,4,35,0.114286
tool_web_failure,nebius,asottile__pyupgrade-347,18,23,0.782609
tool_web_failure,nebius,asottile__pyupgrade-347,26,53,0.490566
tool_web_failure,nebius,asottile__pyupgrade-347,52,157,0.33121
tool_web_failure,nebius,asottile__pyupgrade-347,24,35,0.685714
tool_web_failure,nebius,asottile__pyupgrade-347,24,59,0.40678
tool_web_failure,nebius,asottile__pyupgrade-545,22,57,0.385965
tool_web_failure,nebius,asottile__pyupgrade-545,32,33,0.969697
tool_web_failure,nebius,asottile__pyupgrade-545,24,33,0.727273
tool_web_failure,nebius,asottile__pyupgrade-545,36,87,0.413793
tool_web_failure,nebius,asottile__pyupgrade-545,24,229,0.104803
tool_web_failure,nebius,asottile__pyupgrade-545,42,67,0.626866
tool_web_failure,nebius,aws-cloudformation__cloudformation-cli-python-plugin-236,58,221,0.262443
tool_web_failure,nebius,aws-cloudformation__cloudformation-cli-python-plugin-236,22,23,0.956522
tool_web_failure,nebius,aws-cloudformation__cloudformation-cli-python-plugin-236,28,35,0.8
tool_web_failure,nebius,benjamincorcoran__sasdocs-41,52,119,0.436975
tool_web_failure,nebius,benjamincorcoran__sasdocs-41,48,109,0.440367
tool_web_failure,nebius,benjamincorcoran__sasdocs-41,24,35,0.685714
tool_web_failure,nebius,benjamincorcoran__sasdocs-41,26,39,0.666667
tool_web_failure,nebius,benjamincorcoran__sasdocs-41,28,35,0.8
tool_web_failure,nebius,bihealth__biomedsheets-23,2,37,0.054054
tool_web_failure,nebius,bihealth__biomedsheets-23,2,19,0.105263
tool_web_failure,nebius,bihealth__biomedsheets-23,2,21,0.095238
tool_web_failure,nebius,bihealth__biomedsheets-23,2,29,0.068966
tool_web_failure,nebius,bihealth__biomedsheets-23,2,67,0.029851
tool_web_failure,nebius,bihealth__biomedsheets-23,2,27,0.074074
tool_web_failure,nebius,bihealth__biomedsheets-23,2,19,0.105263
tool_web_failure,nebius,bihealth__biomedsheets-23,2,15,0.133333
tool_web_failure,nebius,bihealth__biomedsheets-23,2,55,0.036364
tool_web_failure,nebius,bihealth__biomedsheets-23,2,9,0.222222
tool_web_failure,nebius,bihealth__biomedsheets-23,2,23,0.086957
tool_web_failure,nebius,bihealth__biomedsheets-23,2,41,0.04878
tool_web_failure,nebius,bihealth__biomedsheets-23,2,33,0.060606
tool_web_failure,nebius,bihealth__biomedsheets-23,2,17,0.117647
tool_web_failure,nebius,bihealth__biomedsheets-23,2,29,0.068966
tool_web_failure,nebius,bihealth__biomedsheets-23,2,9,0.222222
tool_web_failure,nebius,bihealth__biomedsheets-23,2,25,0.08
tool_web_failure,nebius,bihealth__biomedsheets-23,2,33,0.060606
tool_web_failure,nebius,bihealth__biomedsheets-23,2,19,0.105263
tool_web_failure,nebius,bihealth__biomedsheets-23,2,71,0.028169
tool_web_failure,nebius,bihealth__biomedsheets-23,2,31,0.064516
tool_web_failure,nebius,bihealth__biomedsheets-23,2,15,0.133333
tool_web_failure,nebius,bihealth__biomedsheets-23,2,11,0.181818
tool_web_failure,nebius,bihealth__biomedsheets-23,2,17,0.117647
tool_web_failure,nebius,bihealth__biomedsheets-23,2,15,0.133333
tool_web_failure,nebius,bihealth__biomedsheets-23,2,11,0.181818
tool_web_failure,nebius,bihealth__biomedsheets-23,2,39,0.051282
tool_web_failure,nebius,bihealth__biomedsheets-23,2,35,0.057143
tool_web_failure,nebius,bihealth__biomedsheets-23,2,13,0.153846
tool_web_failure,nebius,bihealth__biomedsheets-23,2,17,0.117647
tool_web_failure,nebius,bihealth__biomedsheets-23,2,19,0.105263
tool_web_failure,nebius,bihealth__biomedsheets-23,2,13,0.153846
tool_web_failure,nebius,bihealth__biomedsheets-23,2,111,0.018018
tool_web_failure,nebius,bihealth__biomedsheets-23,2,63,0.031746
tool_web_failure,nebius,bihealth__biomedsheets-23,2,17,0.117647
tool_web_failure,nebius,casbin__pycasbin-53,16,43,0.372093
tool_web_failure,nebius,casbin__pycasbin-53,6,7,0.857143
tool_web_failure,nebius,cytomining__pycytominer-62,16,67,0.238806
tool_web_failure,nebius,dask__dask-jobqueue-563,26,53,0.490566
tool_web_failure,nebius,dask__dask-jobqueue-563,28,33,0.848485
tool_web_failure,nebius,dask__dask-jobqueue-563,14,47,0.297872
tool_web_failure,nebius,dask__dask-jobqueue-563,32,39,0.820513
tool_web_failure,nebius,delph-in__pydelphin-362,8,115,0.069565
tool_web_failure,nebius,delph-in__pydelphin-362,8,31,0.258065
tool_web_failure,nebius,delph-in__pydelphin-362,6,55,0.109091
tool_web_failure,nebius,delph-in__pydelphin-362,10,93,0.107527
tool_web_failure,nebius,delph-in__pydelphin-362,6,33,0.181818
tool_web_failure,nebius,delph-in__pydelphin-362,6,81,0.074074
tool_web_failure,nebius,delph-in__pydelphin-362,12,69,0.173913
tool_web_failure,nebius,delph-in__pydelphin-362,8,79,0.101266
tool_web_failure,nebius,delph-in__pydelphin-362,12,25,0.48
tool_web_failure,nebius,delph-in__pydelphin-362,8,65,0.123077
tool_web_failure,nebius,delph-in__pydelphin-362,6,75,0.08
tool_web_failure,nebius,delph-in__pydelphin-362,14,85,0.164706
tool_web_failure,nebius,delph-in__pydelphin-362,12,75,0.16
tool_web_failure,nebius,delph-in__pydelphin-362,12,45,0.266667
tool_web_failure,nebius,delph-in__pydelphin-362,10,117,0.08547
tool_web_failure,nebius,delph-in__pydelphin-362,12,47,0.255319
tool_web_failure,nebius,delph-in__pydelphin-362,6,41,0.146341
tool_web_failure,nebius,delph-in__pydelphin-362,10,97,0.103093
tool_web_failure,nebius,fairlearn__fairlearn-896,12,19,0.631579
tool_web_failure,nebius,fairlearn__fairlearn-896,20,41,0.487805
tool_web_failure,nebius,fairlearn__fairlearn-896,22,33,0.666667
tool_web_failure,nebius,fairlearn__fairlearn-896,14,43,0.325581
tool_web_failure,nebius,fairlearn__fairlearn-896,68,75,0.906667
tool_web_failure,nebius,fairlearn__fairlearn-896,10,17,0.588235
tool_web_failure,nebius,fairlearn__fairlearn-896,22,57,0.385965
tool_web_failure,nebius,fairlearn__fairlearn-896,12,21,0.571429
tool_web_failure,nebius,fairlearn__fairlearn-896,12,23,0.521739
tool_web_failure,nebius,fairlearn__fairlearn-896,14,27,0.518519
tool_web_failure,nebius,fairlearn__fairlearn-896,12,87,0.137931
tool_web_failure,nebius,geopandas__geopandas-3240,8,25,0.32
tool_web_failure,nebius,geopandas__geopandas-3240,20,23,0.869565
tool_web_failure,nebius,geopandas__geopandas-3240,8,55,0.145455
tool_web_failure,nebius,geopandas__geopandas-3240,44,83,0.53012
tool_web_failure,nebius,geopandas__geopandas-3240,22,25,0.88
tool_web_failure,nebius,geopandas__geopandas-3240,8,31,0.258065
tool_web_failure,nebius,geopandas__geopandas-3240,32,35,0.914286
tool_web_failure,nebius,geopandas__geopandas-3240,24,27,0.888889
tool_web_failure,nebius,geopandas__geopandas-3240,8,25,0.32
tool_web_failure,nebius,google__latexify_py-67,8,89,0.089888
tool_web_failure,nebius,iris-hep__func_adl-116,12,53,0.226415
tool_web_failure,nebius,iris-hep__func_adl-116,12,33,0.363636
tool_web_failure,nebius,iris-hep__func_adl-116,22,105,0.209524
tool_web_failure,nebius,iris-hep__func_adl-116,12,19,0.631579
tool_web_failure,nebius,iris-hep__func_adl-116,56,81,0.691358
tool_web_failure,nebius,iris-hep__func_adl-116,12,19,0.631579
tool_web_failure,nebius,iterative__dvc-3462,46,65,0.707692
tool_web_failure,nebius,iterative__dvc-3462,512,699,0.732475
tool_web_failure,nebius,iterative__dvc-5785,24,27,0.888889
tool_web_failure,nebius,iterative__dvc-5785,40,43,0.930233
tool_web_failure,nebius,iterative__dvc-5785,24,53,0.45283
tool_web_failure,nebius,iterative__dvc-5785,26,41,0.634146
tool_web_failure,nebius,iterative__dvc-5785,26,39,0.666667
tool_web_failure,nebius,iterative__dvc-5785,42,45,0.933333
tool_web_failure,nebius,iterative__dvc-5785,44,51,0.862745
tool_web_failure,nebius,iterative__dvc-5785,42,43,0.976744
tool_web_failure,nebius,iterative__dvc-5785,42,55,0.763636
tool_web_failure,nebius,iterative__dvc-5785,60,85,0.705882
tool_web_failure,nebius,iterative__dvc-5785,22,55,0.4
tool_web_failure,nebius,iterative__dvc-5785,18,77,0.233766
tool_web_failure,nebius,iterative__dvc-5785,38,71,0.535211
tool_web_failure,nebius,iterative__dvc-5785,42,75,0.56
tool_web_failure,nebius,iterative__dvc-5785,54,67,0.80597
tool_web_failure,nebius,iterative__dvc-5785,48,61,0.786885
tool_web_failure,nebius,iterative__dvc-5785,10,27,0.37037
tool_web_failure,nebius,iterative__dvc-5785,34,67,0.507463
tool_web_failure,nebius,iterative__dvc-5785,16,27,0.592593
tool_web_failure,nebius,iterative__dvc-7205,168,293,0.573379
tool_web_failure,nebius,joke2k__django-environ-358,22,25,0.88
tool_web_failure,nebius,just-work__fffw-100,12,23,0.521739
tool_web_failure,nebius,just-work__fffw-100,12,15,0.8
tool_web_failure,nebius,just-work__fffw-100,12,39,0.307692
tool_web_failure,nebius,just-work__fffw-100,22,27,0.814815
tool_web_failure,nebius,just-work__fffw-100,12,35,0.342857
tool_web_failure,nebius,just-work__fffw-100,12,15,0.8
tool_web_failure,nebius,just-work__fffw-100,14,23,0.608696
tool_web_failure,nebius,just-work__fffw-100,18,21,0.857143
tool_web_failure,nebius,just-work__fffw-100,20,35,0.571429
tool_web_failure,nebius,just-work__fffw-100,12,19,0.631579
tool_web_failure,nebius,just-work__fffw-100,12,57,0.210526
tool_web_failure,nebius,just-work__fffw-100,12,25,0.48
tool_web_failure,nebius,just-work__fffw-100,12,17,0.705882
tool_web_failure,nebius,just-work__fffw-100,20,139,0.143885
tool_web_failure,nebius,just-work__fffw-100,12,15,0.8
tool_web_failure,nebius,just-work__fffw-100,22,57,0.385965
tool_web_failure,nebius,matchms__matchms-187,22,125,0.176
tool_web_failure,nebius,matchms__matchms-187,26,157,0.165605
tool_web_failure,nebius,matchms__matchms-187,38,97,0.391753
tool_web_failure,nebius,matchms__matchms-187,68,275,0.247273
tool_web_failure,nebius,matchms__matchms-187,28,87,0.321839
tool_web_failure,nebius,matchms__matchms-187,22,45,0.488889
tool_web_failure,nebius,matchms__matchms-187,34,37,0.918919
tool_web_failure,nebius,meerk40t__svgelements-183,40,97,0.412371
tool_web_failure,nebius,meerk40t__svgelements-183,38,79,0.481013
tool_web_failure,nebius,meerk40t__svgelements-183,28,33,0.848485
tool_web_failure,nebius,meerk40t__svgelements-183,38,81,0.469136
tool_web_failure,nebius,meerk40t__svgelements-183,28,187,0.149733
tool_web_failure,nebius,meerk40t__svgelements-183,18,53,0.339623
tool_web_failure,nebius,meerk40t__svgelements-183,24,41,0.585366
tool_web_failure,nebius,meerk40t__svgelements-183,36,85,0.423529
tool_web_failure,nebius,meerk40t__svgelements-183,26,57,0.45614
tool_web_failure,nebius,meerk40t__svgelements-183,24,27,0.888889
tool_web_failure,nebius,networkx__networkx-7024,22,55,0.4
tool_web_failure,nebius,nipy__nipype-2597,34,139,0.244604
tool_web_failure,nebius,nipy__nipype-2597,16,29,0.551724
tool_web_failure,nebius,nose-devs__nose2-472,12,63,0.190476
tool_web_failure,nebius,nose-devs__nose2-472,32,33,0.969697
tool_web_failure,nebius,nose-devs__nose2-472,14,49,0.285714
tool_web_failure,nebius,omni-us__jsonargparse-176,46,69,0.666667
tool_web_failure,nebius,omni-us__jsonargparse-176,34,63,0.539683
tool_web_failure,nebius,omni-us__jsonargparse-176,60,89,0.674157
tool_web_failure,nebius,omni-us__jsonargparse-176,48,77,0.623377
tool_web_failure,nebius,omni-us__jsonargparse-176,30,81,0.37037
tool_web_failure,nebius,omni-us__jsonargparse-176,490,545,0.899083
tool_web_failure,nebius,omni-us__jsonargparse-176,28,37,0.756757
tool_web_failure,nebius,omni-us__jsonargparse-176,62,69,0.898551
tool_web_failure,nebius,omni-us__jsonargparse-176,22,55,0.4
tool_web_failure,nebius,pact-foundation__pact-python-94,22,67,0.328358
tool_web_failure,nebius,pact-foundation__pact-python-94,32,255,0.12549
tool_web_failure,nebius,peterbe__premailer-218,6,17,0.352941
tool_web_failure,nebius,peterbe__premailer-218,6,9,0.666667
tool_web_failure,nebius,peterbe__premailer-218,14,23,0.608696
tool_web_failure,nebius,peterbe__premailer-218,8,13,0.615385
tool_web_failure,nebius,peterbe__premailer-218,14,21,0.666667
tool_web_failure,nebius,peterbe__premailer-218,12,45,0.266667
tool_web_failure,nebius,peterbe__premailer-218,14,23,0.608696
tool_web_failure,nebius,peterbe__premailer-218,10,17,0.588235
tool_web_failure,nebius,peterbe__premailer-218,28,35,0.8
tool_web_failure,nebius,peterbe__premailer-218,6,55,0.109091
tool_web_failure,nebius,peterbe__premailer-218,8,11,0.727273
tool_web_failure,nebius,peterbe__premailer-218,4,15,0.266667
tool_web_failure,nebius,peterbe__premailer-218,10,35,0.285714
tool_web_failure,nebius,peterbe__premailer-218,6,7,0.857143
tool_web_failure,nebius,peterbe__premailer-218,10,17,0.588235
tool_web_failure,nebius,peterbe__premailer-218,12,23,0.521739
tool_web_failure,nebius,peterbe__premailer-218,10,15,0.666667
tool_web_failure,nebius,peterbe__premailer-218,8,23,0.347826
tool_web_failure,nebius,peterbe__premailer-218,6,23,0.26087
tool_web_failure,nebius,peterbe__premailer-218,6,17,0.352941
tool_web_failure,nebius,peterbe__premailer-218,14,21,0.666667
tool_web_failure,nebius,peterbe__premailer-218,6,97,0.061856
tool_web_failure,nebius,peterbe__premailer-218,6,95,0.063158
tool_web_failure,nebius,peterbe__premailer-218,6,31,0.193548
tool_web_failure,nebius,peterbe__premailer-218,6,69,0.086957
tool_web_failure,nebius,peterbe__premailer-218,6,9,0.666667
tool_web_failure,nebius,peterbe__premailer-218,16,17,0.941176
tool_web_failure,nebius,peterbe__premailer-218,4,15,0.266667
tool_web_failure,nebius,peterbe__premailer-218,6,67,0.089552
tool_web_failure,nebius,peterbe__premailer-218,10,19,0.526316
tool_web_failure,nebius,peterbe__premailer-218,14,19,0.736842
tool_web_failure,nebius,peterbe__premailer-218,6,17,0.352941
tool_web_failure,nebius,peterbe__premailer-218,10,15,0.666667
tool_web_failure,nebius,peterbe__premailer-218,4,41,0.097561
tool_web_failure,nebius,peterbe__premailer-218,6,17,0.352941
tool_web_failure,nebius,peterbe__premailer-218,10,19,0.526316
tool_web_failure,nebius,peterbe__premailer-218,8,11,0.727273
tool_web_failure,nebius,peterbe__premailer-218,8,21,0.380952
tool_web_failure,nebius,peterbe__premailer-218,6,29,0.206897
tool_web_failure,nebius,peterbe__premailer-218,8,73,0.109589
tool_web_failure,nebius,peterbe__premailer-218,6,21,0.285714
tool_web_failure,nebius,peterbe__premailer-218,12,13,0.923077
tool_web_failure,nebius,peterbe__premailer-218,6,51,0.117647
tool_web_failure,nebius,peterbe__premailer-218,12,21,0.571429
tool_web_failure,nebius,peterbe__premailer-218,6,99,0.060606
tool_web_failure,nebius,peterbe__premailer-218,4,15,0.266667
tool_web_failure,nebius,peterbe__premailer-218,10,83,0.120482
tool_web_failure,nebius,peterbe__premailer-218,12,13,0.923077
tool_web_failure,nebius,peterbe__premailer-218,14,23,0.608696
tool_web_failure,nebius,planetlabs__planet-client-python-621,16,45,0.355556
tool_web_failure,nebius,planetlabs__planet-client-python-621,26,43,0.604651
tool_web_failure,nebius,planetlabs__planet-client-python-621,20,35,0.571429
tool_web_failure,nebius,planetlabs__planet-client-python-621,16,29,0.551724
tool_web_failure,nebius,planetlabs__planet-client-python-621,16,21,0.761905
tool_web_failure,nebius,ppizarror__pygame-menu-357,50,85,0.588235
tool_web_failure,nebius,ppizarror__pygame-menu-357,46,81,0.567901
tool_web_failure,nebius,ppizarror__pygame-menu-357,40,61,0.655738
tool_web_failure,nebius,ppizarror__pygame-menu-357,20,89,0.224719
tool_web_failure,nebius,ppizarror__pygame-menu-357,42,51,0.823529
tool_web_failure,nebius,ppizarror__pygame-menu-357,34,61,0.557377
tool_web_failure,nebius,ppizarror__pygame-menu-357,32,57,0.561404
tool_web_failure,nebius,ppizarror__pygame-menu-357,36,49,0.734694
tool_web_failure,nebius,ppizarror__pygame-menu-357,10,51,0.196078
tool_web_failure,nebius,ppizarror__pygame-menu-357,16,93,0.172043
tool_web_failure,nebius,pvlib__pvlib-python-1296,10,77,0.12987
tool_web_failure,nebius,pvlib__pvlib-python-1296,16,33,0.484848
tool_web_failure,nebius,pydantic__pydantic-1989,144,259,0.555985
tool_web_failure,nebius,pydantic__pydantic-4350,2,11,0.181818
tool_web_failure,nebius,pydantic__pydantic-4350,2,13,0.153846
tool_web_failure,nebius,pydantic__pydantic-4350,2,15,0.133333
tool_web_failure,nebius,pydantic__pydantic-4350,2,29,0.068966
tool_web_failure,nebius,pydantic__pydantic-4350,2,17,0.117647
tool_web_failure,nebius,pydantic__pydantic-4350,2,17,0.117647
tool_web_failure,nebius,pydantic__pydantic-4350,2,9,0.222222
tool_web_failure,nebius,pydantic__pydantic-4350,2,9,0.222222
tool_web_failure,nebius,pydantic__pydantic-4350,2,11,0.181818
tool_web_failure,nebius,pydantic__pydantic-4350,2,13,0.153846
tool_web_failure,nebius,pydantic__pydantic-4350,2,23,0.086957
tool_web_failure,nebius,pydantic__pydantic-4350,2,11,0.181818
tool_web_failure,nebius,pydantic__pydantic-4350,2,11,0.181818
tool_web_failure,nebius,pydantic__pydantic-4350,2,15,0.133333
tool_web_failure,nebius,pydantic__pydantic-4350,2,11,0.181818
tool_web_failure,nebius,pydantic__pydantic-4350,2,77,0.025974
tool_web_failure,nebius,pydantic__pydantic-4350,2,27,0.074074
tool_web_failure,nebius,pydantic__pydantic-4350,2,15,0.133333
tool_web_failure,nebius,pydantic__pydantic-4350,2,309,0.006472
tool_web_failure,nebius,pydantic__pydantic-4350,2,21,0.095238
tool_web_failure,nebius,pydantic__pydantic-4350,2,21,0.095238
tool_web_failure,nebius,pydantic__pydantic-4350,2,47,0.042553
tool_web_failure,nebius,pydantic__pydantic-4350,2,321,0.006231
tool_web_failure,nebius,pydantic__pydantic-4350,2,251,0.007968
tool_web_failure,nebius,pydantic__pydantic-4350,2,11,0.181818
tool_web_failure,nebius,pydantic__pydantic-4350,2,41,0.04878
tool_web_failure,nebius,pydantic__pydantic-4350,2,17,0.117647
tool_web_failure,nebius,pydantic__pydantic-4350,2,33,0.060606
tool_web_failure,nebius,pydantic__pydantic-4350,2,17,0.117647
tool_web_failure,nebius,pydantic__pydantic-4350,2,33,0.060606
tool_web_failure,nebius,pydantic__pydantic-4350,2,13,0.153846
tool_web_failure,nebius,pydantic__pydantic-4350,2,11,0.181818
tool_web_failure,nebius,pydantic__pydantic-4350,2,13,0.153846
tool_web_failure,nebius,pydantic__pydantic-4350,2,19,0.105263
tool_web_failure,nebius,pydantic__pydantic-4350,2,9,0.222222
tool_web_failure,nebius,pydantic__pydantic-4350,2,21,0.095238
tool_web_failure,nebius,pydantic__pydantic-4350,2,13,0.153846
tool_web_failure,nebius,pydantic__pydantic-4350,2,11,0.181818
tool_web_failure,nebius,pydantic__pydantic-4350,2,21,0.095238
tool_web_failure,nebius,pydantic__pydantic-4350,2,19,0.105263
tool_web_failure,nebius,pydantic__pydantic-4350,2,9,0.222222
tool_web_failure,nebius,pydantic__pydantic-4350,2,21,0.095238
tool_web_failure,nebius,pydantic__pydantic-4350,2,37,0.054054
tool_web_failure,nebius,pydantic__pydantic-4350,2,3,0.666667
tool_web_failure,nebius,pydantic__pydantic-4350,2,21,0.095238
tool_web_failure,nebius,pydantic__pydantic-4350,2,9,0.222222
tool_web_failure,nebius,pydantic__pydantic-4350,2,19,0.105263
tool_web_failure,nebius,pydicom__pydicom-1555,44,107,0.411215
tool_web_failure,nebius,pydicom__pydicom-1555,14,59,0.237288
tool_web_failure,nebius,python-visualization__folium-1633,2,27,0.074074
tool_web_failure,nebius,python-visualization__folium-1633,2,25,0.08
tool_web_failure,nebius,python-visualization__folium-1633,2,33,0.060606
tool_web_failure,nebius,python-visualization__folium-1633,2,29,0.068966
tool_web_failure,nebius,python-visualization__folium-1633,2,25,0.08
tool_web_failure,nebius,python-visualization__folium-1633,2,25,0.08
tool_web_failure,nebius,python-visualization__folium-1633,2,23,0.086957
tool_web_failure,nebius,python-visualization__folium-1633,2,33,0.060606
tool_web_failure,nebius,python-visualization__folium-1633,2,53,0.037736
tool_web_failure,nebius,python-visualization__folium-1633,2,29,0.068966
tool_web_failure,nebius,python-visualization__folium-1633,2,65,0.030769
tool_web_failure,nebius,python-visualization__folium-1633,2,27,0.074074
tool_web_failure,nebius,python-visualization__folium-1633,2,79,0.025316
tool_web_failure,nebius,python-visualization__folium-1633,2,21,0.095238
tool_web_failure,nebius,python-visualization__folium-1633,2,25,0.08
tool_web_failure,nebius,python-visualization__folium-1633,2,31,0.064516
