Time,Input Tokens,Output Tokens,Cache Read Tokens,Cache Creation Tokens
2026-03-29 20:33:19.511320+08:00,150732,20,0,0
2026-03-29 20:33:06.601080+08:00,150040,47,0,0
2026-03-29 20:32:56.353552+08:00,148876,338,0,0
2026-03-29 20:30:53.683224+08:00,148824,161,0,0
2026-03-29 20:30:44.584551+08:00,145898,1319,0,0
2026-03-29 20:30:19.913899+08:00,144592,21,0,0
2026-03-29 20:30:12.944234+08:00,142651,488,0,0
2026-03-29 20:28:16.634815+08:00,140552,397,0,0
2026-03-29 20:28:06.203179+08:00,138776,420,0,0
2026-03-29 20:26:19.975779+08:00,136249,1168,0,0
2026-03-29 20:26:01.309608+08:00,0,14,134434,0
2026-03-29 20:25:49.010050+08:00,61,38,77916,798
2026-03-29 20:25:43.260308+08:00,61,1012,77256,660
2026-03-29 20:25:33.151197+08:00,0,164,74726,2591
2026-03-29 20:25:19.866850+08:00,733,386,36693,23927
2026-03-29 20:25:04.719434+08:00,0,33,34108,26798
2026-03-29 20:24:00.250166+08:00,100,778,73625,1040
2026-03-29 20:23:51.755180+08:00,100,229,72993,632
2026-03-29 20:23:35.521751+08:00,100,502,72595,398
2026-03-29 20:23:25.932781+08:00,100,164,0,72595
2026-03-29 20:23:18.744103+08:00,100,73,71530,568
2026-03-29 20:23:11.533022+08:00,100,59,70861,669
2026-03-29 20:22:59.619844+08:00,100,359,70316,545
2026-03-29 20:22:48.183980+08:00,100,352,69089,1227
2026-03-29 20:22:23.412241+08:00,0,38,100,69089
2026-03-29 20:18:05.882416+08:00,118510,28,0,0
2026-03-29 20:17:58.066924+08:00,117306,25,0,0
2026-03-29 20:17:47.969911+08:00,115857,181,0,0
2026-03-29 20:17:35.267299+08:00,114518,142,0,0
2026-03-29 20:17:22.805844+08:00,113554,65,0,0
2026-03-29 20:17:12.560614+08:00,111903,439,0,0
2026-03-29 20:16:53.522513+08:00,109691,250,0,0
2026-03-29 20:16:33.078333+08:00,106990,615,0,0
2026-03-29 20:16:24.338327+08:00,104413,118,0,0
2026-03-29 20:16:12.257832+08:00,96273,4563,0,0
2026-03-29 20:15:38.273655+08:00,92131,896,0,0
2026-03-29 20:15:13.531018+08:00,90386,29,0,0
2026-03-29 20:11:21.881311+08:00,89207,138,0,0
2026-03-29 20:11:13.364256+08:00,87551,733,0,0
2026-03-29 20:10:50.975616+08:00,81744,2956,0,0
2026-03-29 20:10:30.948062+08:00,79991,35,0,0
2026-03-29 20:10:19.737094+08:00,171379,4667,0,0
2026-03-29 20:09:19.044711+08:00,166394,640,0,0
2026-03-29 20:09:06.054722+08:00,164785,362,0,0
2026-03-29 20:08:55.747266+08:00,159590,3027,0,0
2026-03-29 20:08:32.495929+08:00,157542,26,0,0
2026-03-29 20:05:05.816983+08:00,156144,261,0,0
2026-03-29 20:04:57.098010+08:00,155616,28,0,0
2026-03-29 20:04:51.048642+08:00,153024,1389,0,0
2026-03-29 20:04:35.410117+08:00,152084,299,0,0
2026-03-29 20:04:24.745381+08:00,151048,41,0,0
2026-03-29 20:04:15.380348+08:00,150532,33,0,0
2026-03-29 20:04:06.564913+08:00,149005,659,0,0
2026-03-29 20:03:52.155792+08:00,147239,13,0,0
2026-03-29 20:03:37.417391+08:00,142215,527,0,0
2026-03-29 20:02:50.046651+08:00,141243,12,0,0
2026-03-29 20:01:40.502014+08:00,138999,948,0,0
2026-03-29 19:59:43.629647+08:00,137101,411,0,0
2026-03-29 19:58:36.029908+08:00,135766,11,0,0
2026-03-29 19:57:25.301316+08:00,132861,1379,0,0
2026-03-29 19:56:53.378452+08:00,131087,113,0,0
2026-03-29 19:56:44.432550+08:00,129800,457,0,0
2026-03-29 19:56:36.520377+08:00,126100,1502,0,0
2026-03-29 19:56:14.632310+08:00,122176,1108,0,0
2026-03-29 19:55:34.562753+08:00,119944,15,0,0
2026-03-29 19:55:27.893784+08:00,115732,275,0,0
2026-03-29 19:55:06.852268+08:00,113950,16,0,0
2026-03-29 19:54:57.553710+08:00,113638,17,0,0
2026-03-29 19:54:45.377915+08:00,113265,28,0,0
2026-03-29 19:54:32.408140+08:00,112489,55,0,0
2026-03-29 19:50:52.979576+08:00,2267,94,0,0
2026-03-29 19:50:52.126381+08:00,111069,104,0,0
2026-03-29 19:48:40.634364+08:00,109277,110,0,0
2026-03-29 19:45:32.629825+08:00,108053,629,0,0
2026-03-29 19:45:23.733833+08:00,107638,64,0,0
2026-03-29 19:45:15.659983+08:00,106228,36,0,0
2026-03-29 19:45:01.444570+08:00,99614,45,0,0
2026-03-29 19:44:54.033899+08:00,98401,40,0,0
2026-03-29 19:44:41.773676+08:00,97857,57,0,0
2026-03-29 19:44:31.387540+08:00,96864,186,0,0
2026-03-29 19:44:21.203611+08:00,93635,521,0,0
2026-03-29 19:44:03.808760+08:00,91007,223,0,0
2026-03-29 19:43:54.603381+08:00,88495,37,0,0
2026-03-29 19:43:47.334331+08:00,0,64,88073,0
2026-03-29 19:43:34.909278+08:00,0,116,37236,5077
2026-03-29 19:43:25.049775+08:00,43,2946,46562,406
2026-03-29 19:43:05.689163+08:00,43,282,44449,2113
2026-03-29 19:42:58.991140+08:00,534,22,0,0
2026-03-29 19:41:42.225453+08:00,90,1,42428,2021
2026-03-29 19:41:36.283820+08:00,90,2456,40872,1556
2026-03-29 19:41:00.388451+08:00,90,15,0,40872
2026-03-29 19:40:55.398752+08:00,90,46,33997,4045
2026-03-29 19:40:53.883771+08:00,1614,1161,0,0
2026-03-29 19:40:50.019560+08:00,90,72,0,33997
2026-03-29 19:32:35.026234+08:00,924,666,0,0
2026-03-29 19:29:36.815015+08:00,177388,202,0,0
2026-03-29 19:26:56.404019+08:00,176780,29,0,0
2026-03-29 19:25:41.460522+08:00,176462,11,0,0
2026-03-29 19:24:30.036445+08:00,173913,1112,0,0
2026-03-29 19:23:08.156127+08:00,172832,18,0,0
2026-03-29 19:21:56.962956+08:00,166929,3432,0,0
2026-03-29 19:21:34.828927+08:00,783,350,0,0
2026-03-29 19:21:34.285152+08:00,160267,181,0,0
2026-03-29 19:20:29.813338+08:00,160267,171,0,0
2026-03-29 19:19:22.460123+08:00,783,361,0,0
2026-03-29 19:17:43.882150+08:00,159458,372,0,0
2026-03-29 19:17:35.160215+08:00,159198,17,0,0
2026-03-29 19:17:24.144074+08:00,157156,46,0,0
2026-03-29 19:17:12.697545+08:00,154959,25,0,0
2026-03-29 19:16:52.634407+08:00,154451,51,0,0
2026-03-29 19:16:41.909067+08:00,153561,48,0,0
2026-03-29 19:16:35.053074+08:00,148179,16,0,0
2026-03-29 19:16:26.060781+08:00,147654,70,0,0
2026-03-29 19:16:17.264501+08:00,146134,60,0,0
2026-03-29 19:16:00.669646+08:00,145151,42,0,0
2026-03-29 19:15:48.906536+08:00,143824,137,0,0
2026-03-29 19:15:37.339858+08:00,142818,43,0,0
2026-03-29 19:15:23.112603+08:00,140940,166,0,0
2026-03-29 19:08:20.200439+08:00,140890,173,0,0
2026-03-29 19:07:54.384593+08:00,136355,125,0,0
2026-03-29 19:07:44.387512+08:00,134185,77,0,0
2026-03-29 19:07:33.820689+08:00,131867,79,0,0
2026-03-29 19:07:27.457677+08:00,120285,60,0,0
2026-03-29 19:07:19.259477+08:00,119763,107,0,0
2026-03-29 19:07:08.759524+08:00,115498,96,0,0
2026-03-29 19:06:40.615264+08:00,115119,22,0,0
2026-03-29 19:06:32.872006+08:00,109191,126,0,0
2026-03-29 19:06:17.331400+08:00,108693,172,0,0
2026-03-29 19:06:04.857120+08:00,107990,12,0,0
2026-03-29 19:05:59.619823+08:00,1167,222,0,0
2026-03-29 19:05:55.998364+08:00,107464,58,0,0
2026-03-29 19:04:54.266538+08:00,102677,84,0,0
2026-03-29 19:04:47.414411+08:00,94354,156,0,0
2026-03-29 19:03:02.915095+08:00,92497,379,0,0
2026-03-29 19:02:47.205972+08:00,0,1059,86955,0
2026-03-29 19:02:27.073829+08:00,19,56,37955,7616
2026-03-29 19:02:22.313793+08:00,19,70,0,37955
2026-03-29 19:02:16.624610+08:00,25974,426,0,0
2026-03-29 19:02:09.178232+08:00,12796,98,0,0
2026-03-29 19:02:06.976188+08:00,19,328,35494,1623
2026-03-29 19:02:01.110315+08:00,34221,1119,0,0
2026-03-29 19:01:49.382550+08:00,12802,147,0,0
2026-03-29 19:01:46.297722+08:00,19,348,33714,1780
2026-03-29 19:01:40.266270+08:00,24261,1287,0,0
2026-03-29 19:01:26.978151+08:00,12787,91,0,0
2026-03-29 19:01:23.263838+08:00,19,309,0,33714
2026-03-29 19:01:21.144653+08:00,309,499,0,0
2026-03-29 18:58:38.934668+08:00,25,5,0,32470
2026-03-29 18:46:41.266519+08:00,137235,463,0,0
2026-03-29 18:43:32.399166+08:00,1021,358,0,0
2026-03-29 18:43:31.831959+08:00,131820,3408,0,0
2026-03-29 18:38:26.479067+08:00,129297,1164,0,0
2026-03-29 18:38:02.428511+08:00,744,196,0,0
2026-03-29 18:37:59.538774+08:00,117503,27,0,0
2026-03-29 18:37:51.460343+08:00,116857,194,0,0
2026-03-29 18:37:20.109130+08:00,765,261,0,0
2026-03-29 18:37:10.988045+08:00,115638,678,0,0
2026-03-29 18:36:02.122853+08:00,731,377,0,0
2026-03-29 18:35:59.671079+08:00,114283,752,0,0
2026-03-29 18:35:35.298984+08:00,113214,592,0,0
2026-03-29 16:15:52.931798+08:00,0,64,67432,4876
2026-03-29 16:12:43.590912+08:00,0,19,67332,4813
2026-03-29 16:12:36.137466+08:00,0,66,67156,4861
2026-03-29 16:12:29.056283+08:00,0,67,66140,5786
2026-03-29 16:06:07.506881+08:00,0,214,65756,5695
2026-03-29 16:06:00.435463+08:00,0,35,65756,5653
2026-03-29 16:05:56.754610+08:00,432,18,0,0
2026-03-29 16:05:11.052606+08:00,0,42,65615,5539
2026-03-29 16:05:04.531921+08:00,0,60,65444,5591
2026-03-29 16:04:57.956950+08:00,0,88,64949,5968
2026-03-29 16:04:52.506584+08:00,0,36,64949,5845
2026-03-29 16:04:47.981432+08:00,530,22,0,0
2026-03-29 16:03:47.941263+08:00,0,88,64466,5883
2026-03-29 16:03:40.819885+08:00,0,71,62913,6677
2026-03-29 16:03:36.434420+08:00,0,38,61540,5712
2026-03-29 16:03:29.952939+08:00,0,38,60520,4735
2026-03-29 16:03:23.845589+08:00,0,37,60322,3905
2026-03-29 16:03:18.040211+08:00,0,380,58889,3318
2026-03-29 16:03:05.039315+08:00,0,32,58709,2964
2026-03-29 16:02:59.824351+08:00,0,212,58345,2916
2026-03-29 16:02:52.499702+08:00,0,234,56595,4222
2026-03-29 16:02:46.267350+08:00,0,29,56595,4128
2026-03-29 16:02:44.709981+08:00,3231,42,0,0
2026-03-29 15:30:10.125314+08:00,0,47,56595,1660
2026-03-29 15:27:03.547829+08:00,0,124,25074,32741
2026-03-29 15:26:33.419643+08:00,3478,22,0,0
2026-03-29 15:26:26.237206+08:00,0,380,91830,9826
2026-03-29 15:16:34.156323+08:00,0,79,91830,8524
2026-03-29 15:13:24.584170+08:00,0,24,90985,9175
2026-03-29 15:13:13.602288+08:00,0,69,90764,8491
2026-03-29 15:13:04.773549+08:00,0,158,89446,9565
2026-03-29 15:12:57.940033+08:00,0,380,89446,8586
2026-03-29 15:12:41.960565+08:00,361,17,0,0
2026-03-29 15:11:24.930630+08:00,0,44,88578,9239
2026-03-29 15:11:13.017020+08:00,0,58,88267,8676
2026-03-29 15:11:06.214221+08:00,0,173,86733,9777
2026-03-29 15:10:57.070261+08:00,0,380,86733,8611
2026-03-29 15:10:44.883379+08:00,446,22,0,0
2026-03-29 15:09:14.652410+08:00,0,63,85851,9218
2026-03-29 15:09:04.863927+08:00,0,77,93695,471
2026-03-29 15:08:51.651256+08:00,0,380,93104,111
2026-03-29 15:08:37.474574+08:00,412,18,0,0
2026-03-29 15:07:48.245777+08:00,0,362,83706,8528
2026-03-29 15:07:36.336839+08:00,478,22,0,0
2026-03-29 15:06:09.014461+08:00,0,229,83706,7833
2026-03-29 15:06:01.191875+08:00,428,23,0,0
2026-03-29 15:02:42.274035+08:00,0,198,83414,7507
2026-03-29 15:02:32.349492+08:00,0,12,83295,7605
2026-03-29 15:02:26.573120+08:00,0,380,82255,7604
2026-03-29 15:02:03.836222+08:00,0,233,81675,7815
2026-03-29 15:01:54.371790+08:00,0,123,81380,7629
2026-03-29 15:01:46.697646+08:00,0,380,78994,8347
2026-03-29 15:01:31.941797+08:00,0,49,78220,6452
2026-03-29 15:01:25.685280+08:00,0,380,77248,4435
2026-03-29 15:01:02.562724+08:00,0,380,76440,4359
2026-03-29 15:00:49.042092+08:00,0,380,75433,3556
2026-03-29 15:00:30.836479+08:00,0,380,74270,3130
2026-03-29 15:00:09.955914+08:00,0,380,73674,3011
2026-03-29 14:59:57.334498+08:00,0,380,72550,3498
2026-03-29 14:59:42.419374+08:00,0,380,71781,3245
2026-03-29 14:59:28.209080+08:00,0,198,71234,3451
2026-03-29 14:59:19.682073+08:00,0,380,70440,2954
2026-03-29 14:59:05.448459+08:00,0,257,69862,3080
2026-03-29 14:58:45.255181+08:00,0,234,68613,3789
2026-03-29 14:58:06.854341+08:00,0,59,68447,2992
2026-03-29 14:58:01.262820+08:00,0,114,68028,3195
2026-03-29 14:57:55.312596+08:00,0,380,67262,3205
2026-03-29 14:57:46.217763+08:00,0,380,66463,3167
2026-03-29 14:57:29.481460+08:00,0,88,66220,3220
2026-03-29 14:57:21.035150+08:00,0,380,65022,3382
2026-03-29 14:57:08.038413+08:00,0,370,64516,3412
2026-03-29 14:57:00.756116+08:00,0,380,63579,3044
2026-03-29 14:56:44.128649+08:00,0,11,63451,3151
2026-03-29 14:56:39.744708+08:00,0,133,57641,8648
2026-03-29 14:56:32.814946+08:00,0,25,56054,5326
2026-03-29 14:56:25.166474+08:00,938,15,0,0
2026-03-29 14:55:31.038187+08:00,0,76,55893,3501
2026-03-29 14:55:25.371131+08:00,1092,380,55359,1152
2026-03-29 14:54:56.457321+08:00,0,380,15911,8776
2026-03-29 14:54:40.487910+08:00,0,74,15592,319
2026-03-29 14:54:27.807425+08:00,72,854,0,52440
2026-03-29 14:54:18.175064+08:00,387,326,0,0
2026-03-29 14:50:25.688120+08:00,75,24,46939,4163
2026-03-29 14:50:19.790430+08:00,75,71,46702,237
2026-03-29 14:50:17.837481+08:00,211,119,0,0
2026-03-29 14:49:42.730711+08:00,75,219,38133,8569
2026-03-29 14:49:34.115565+08:00,75,108,36284,1849
2026-03-29 14:49:27.113098+08:00,75,53,32356,3928
2026-03-29 14:49:21.757920+08:00,75,51,0,32356
2026-03-29 14:49:20.947615+08:00,0,317,250,0
2026-03-29 14:46:39.755493+08:00,382,10,26613,4394
2026-03-29 14:46:16.847306+08:00,61526,194,0,0
2026-03-29 14:42:46.873872+08:00,67263,102,0,0
2026-03-29 14:42:38.930441+08:00,61779,195,0,0
2026-03-29 14:27:03.194082+08:00,290624,886,0,0
2026-03-29 14:22:05.795071+08:00,290347,179,0,0
2026-03-29 14:18:50.425490+08:00,289486,395,0,0
2026-03-29 14:18:41.269374+08:00,286272,249,0,0
2026-03-29 14:18:11.109876+08:00,281416,72,0,0
2026-03-29 14:18:02.192817+08:00,280368,107,0,0
2026-03-29 14:17:53.472237+08:00,278592,33,0,0
2026-03-29 14:17:42.652259+08:00,277212,36,0,0
2026-03-29 14:17:32.076147+08:00,276355,179,0,0
2026-03-29 14:17:22.927294+08:00,273498,37,0,0
2026-03-29 14:17:12.772748+08:00,272933,60,0,0
2026-03-29 14:17:04.433572+08:00,272424,44,0,0
2026-03-29 14:16:53.580415+08:00,271356,404,0,0
2026-03-29 14:16:35.446017+08:00,266279,50,0,0
2026-03-29 14:16:29.239352+08:00,709,273,0,0
2026-03-29 10:16:56.619866+08:00,0,380,126112,28816
2026-03-29 10:16:38.107673+08:00,0,32,103128,32401
2026-03-29 10:16:33.812833+08:00,0,73,117793,804
2026-03-29 10:16:28.495973+08:00,0,162,113599,4194
2026-03-29 10:16:15.848872+08:00,0,380,111350,2249
2026-03-29 10:15:43.677525+08:00,0,380,107661,3688
2026-03-29 10:15:23.117974+08:00,0,43,107433,228
2026-03-29 10:15:19.880283+08:00,0,89,98987,8447
2026-03-29 10:15:14.631329+08:00,0,380,97574,1413
2026-03-29 10:13:47.728708+08:00,0,380,95940,1634
2026-03-29 10:13:24.313065+08:00,0,380,94424,1515
2026-03-29 10:13:11.599153+08:00,0,232,93306,1119
2026-03-29 10:12:36.350265+08:00,0,24,92939,367
2026-03-29 10:12:30.320315+08:00,0,128,90069,2870
2026-03-29 10:12:21.384395+08:00,0,380,88226,1843
2026-03-29 10:11:48.988221+08:00,0,380,86939,1286
2026-03-29 10:11:28.191325+08:00,0,380,86796,144
2026-03-29 10:11:10.007001+08:00,0,50,86268,528
2026-03-29 10:11:02.423482+08:00,0,233,84939,1329
2026-03-29 10:10:53.764848+08:00,0,110,83300,1639
2026-03-29 10:10:38.452745+08:00,0,380,81800,1500
2026-03-29 10:10:19.920546+08:00,0,380,75260,6540
2026-03-29 10:09:59.337618+08:00,1026,16,0,0
2026-03-29 10:07:06.601638+08:00,0,0,68396,6864
2026-03-29 10:07:02.490033+08:00,0,380,66824,1572
2026-03-29 10:05:50.955643+08:00,0,380,63113,3711
2026-03-29 10:00:45.214170+08:00,0,380,61160,1953
2026-03-29 09:59:38.750420+08:00,0,270,60146,1014
2026-03-29 09:59:27.945587+08:00,0,371,59211,935
2026-03-29 09:59:01.680344+08:00,0,124,58707,504
2026-03-29 09:58:54.995820+08:00,0,159,57432,1275
2026-03-29 09:58:48.236296+08:00,0,168,55587,1845
2026-03-29 09:58:41.789617+08:00,0,34,52873,2714
2026-03-29 09:58:35.827244+08:00,0,118,44515,8358
2026-03-29 09:58:29.076291+08:00,0,277,44330,185
2026-03-29 09:58:18.057813+08:00,0,43,39168,5162
2026-03-29 09:58:05.421389+08:00,0,252,39168,263
2026-03-29 09:57:58.272549+08:00,514,42,0,0
2026-03-29 09:43:07.793980+08:00,8581,7,29803,783
2026-03-29 09:37:24.401268+08:00,65763,115,0,0
2026-03-29 09:37:18.701620+08:00,60958,201,0,0
2026-03-29 09:36:52.953038+08:00,60955,82,0,0
